"noOfFeatures"	"expected"	"observed"	"pval"	"zscore"
54041	26401	34428	1e-04	67.1133
37529	11807	15894	1e-04	44.818
4340	3752	2091	1e-04	-26.4758
3093	1840	2201	1e-04	9.1604
1189	676	689	0.3009	0.4883
17866	14921	12316	1e-04	-25.6959
17101	14169	11382	1e-04	-28.7793
9618	17381	21306	1e-04	38.9085
14230	11473	11045	1e-04	-4.4718
13090	7020	8254	1e-04	15.828
14920	12641	15458	1e-04	27.5371
12234	5138	6297	1e-04	20.148
2452	2485	2166	1e-04	-6.5274
23473	42682	46620	1e-04	33.3033
23475	14034	7979	1e-04	-60.3531
23478	13442	12227	1e-04	-13.3651
23475	15025	12561	1e-04	-23.3257
23478	14326	17869	1e-04	35.5245
129044	41164	45363	1e-04	35.9305
103930	25309	28969	1e-04	29.5914
13016	7083	4204	1e-04	-35.579
3136	1558	1712	1e-04	3.8228
1918	1121	1131	0.4065	0.2903
