"noOfFeatures"	"expected"	"observed"	"pval"	"zscore"
21722	10683	14619	1e-04	3.103
20205	6327	9067	1e-04	3.6518
1574	1450	792	0.0025	-3.2687
2157	1405	1961	1e-04	3.5049
1070	726	1015	1e-04	3.3477
1710	1626	1237	0.0481	-1.7925
1631	1553	1164	0.0433	-1.8681
992	1712	2189	1e-04	1.9478
1093	1001	935	0.2737	-0.4601
14863	7138	9052	1e-04	2.2905
3254	2536	3265	1e-04	2.1884
8055	11283	14264	1e-04	2.186
868	614	624	0.6544	0.1163
3723	5878	6677	1e-04	1.0584
3729	2400	1664	0.0433	-2.4515
3725	2284	2242	0.3049	-0.1456
3727	2473	2333	0.3049	-0.4491
3725	2393	2926	1e-04	1.7735
23105	11990	14325	1e-04	1.6081
15875	4086	4888	1e-04	1.537
18171	13607	13659	0.6952	0.0319
12425	7780	10207	1e-04	2.6817
7073	4080	5406	1e-04	2.7145
